gene_symbol,referral_indication,disease_grouping,Syndromic or non-syndromic HCM,disease_name,gene_disease_validity,allelic_requirement,inheritance,inheritance_modifiers,mechanism,variant_class_with_pathogenicity_evidence,pmids,expert_panel,expert_panel_review_date,curated_date,entry_date
TNNT2,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,TNNT2-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,missense_variant;inframe_deletion;stop_gained_NMD_escaping;splice_donor_variant_NMD_escaping,25611685;22144547;12707239;28973951;30696458;28912181;8205619;30578328;32731933;7898523;11034944;28007147;10965086,Cardiomyopathy expert panel,24.11.2021,10.10.2021,2022-04-27 14:22:00+00:00
TPM1,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,TPM1-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,missense_variant,12860912;7898523;8205619;24005378,Cardiomyopathy expert panel,24.11.2021,10.10.2021,2022-04-25 12:45:00+00:00
TRDN,Catecholaminergic polymorphic ventricular tachycardia (CPVT),Atypical CPVT phenotype,NA,TRDN-related Catecholaminergic polymorphic ventricular tachycardia,Definitive,biallelic_autosomal,Autosomal recessive,nan,loss of function,missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering;exon_loss_variant,25922419;26768964;22422768;30479949;26200674,Channelopathy expert panel,19.05.2021,08.01.2021,2022-04-25 12:45:00+00:00
TRDN,Long QT Syndrome (LQTS),Long QT syndrome with an atypical presentation,NA,TRDN-related Long QT syndrome,Strong,biallelic_autosomal,Autosomal recessive,nan,loss of function,frameshift_variant_NMD_triggering,30649896;22422768;32402482;25922419;26768964;31983240;30479949;31437535;26200674,Channelopathy expert panel,16.06.2021,04.11..2020,2022-04-25 12:45:00+00:00
TTN,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,TTN-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance; Typified by age-related onset,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering;exon_loss_variant,23418287;9826585;9817758;25759365;19789381;25589632;32160020;31849696;18765796;28045975;27625337;11788824;37253077;29316444;27869827;29238064;26084686;32013205;26315439;22335739,Cardiomyopathy expert panel,08.12.2021,31.03.2021,2022-04-25 12:45:00+00:00
TTR,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,TTR-related hereditary ATTR amyloidosis,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,missense_variant;inframe_deletion;inframe_insertion,32969287;25604431;9191784;28213611;15185500;29941560;30328212;15930086,Cardiomyopathy expert panel,12.01.2022,11.11.2021,2024-03-26 10:43:00+00:00
ACTC1,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,ACTC1-related Dilated cardiomypathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
JPH2,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,JPH2-related Dilated cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
NEXN,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,NEXN-related Dilated cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
TNNI3,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,TNNI3-related Dilated cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
TPM1,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,TPM1-related Dilated cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
VCL,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,VCL-related Dilated cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
JPH2,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,JPH2-related Hypertrophic cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
TRIM63,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,TRIM63-related Hypertrophic cardiomyopathy,Moderate,biallelic_autosomal,Autosomal recessive,nan,nan,nan,nan,nan,nan,nan,
MT-TI,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,MT-TI-related Hypertrophic cardiomyopathy,Moderate,mitochondrial,Mitochondrial,nan,nan,nan,nan,nan,nan,nan,
KLHL24,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,KLHL24-related Hypertrophic cardiomyopathy,Moderate,biallelic_autosomal,Autosomal recessive,nan,nan,nan,nan,nan,nan,nan,
DES,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DES-related Arrhythmogenic right ventricular cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
PLN,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,PLN -related Arrhythmogenic right ventricular cardiomyopathy,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
CACNA1C,Long QT Syndrome (LQTS),Familial Long QT Syndrome,NA,CACNA1C-related Long QT syndrome,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,nan,nan,nan,nan,nan,
