gene_symbol,referral_indication,disease_grouping,Syndromic or non-syndromic HCM,disease_name,gene_disease_validity,allelic_requirement,inheritance,inheritance_modifiers,mechanism,variant_class_with_pathogenicity_evidence,pmids,expert_panel,expert_panel_review_date,curated_date,entry_date
DSP,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DSP-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion,33831308;20716751;27532257;33275305;27761164;21636032;31319917;32372669;31514951;23810894;20940358;22795705;24503780;26604139;23137101;11063735;32808748;30382575,Cardiomyopathy expert panel,05.01.2022,12.12.2021,2022-04-25 12:45:00+00:00
DSP,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DSP-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,biallelic_autosomal,Autosomal recessive,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion,33831308;20716751;27532257;33275305;27761164;21636032;31319917;32372669;31514951;23810894;20940358;22795705;24503780;26604139;23137101;11063735;32808748;30382575,Cardiomyopathy expert panel,05.01.2022,12.12.2021,2022-04-25 12:45:00+00:00
DSP,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,DSP-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,frameshift_variant;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,20716751;27532257;31317183;32005173;24503780;23022708;31983221;32013205,Cardiomyopathy expert panel,01.02.2022,06.08.2021,2024-03-20 09:58:00+00:00
FHL1,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,FHL1-related Emery Dreifuss muscular dystrophy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by age-related onset,nan,splice_region_variant;stop_lost;missense_variant;stop_gained_NMD_escaping;frameshift_variant_NMD_escaping,22523091;19716112;32993534;20186852;30681346,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-04-25 12:45:00+00:00
FHOD3,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,FHOD3-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,splice_acceptor_variant_NMD_escaping;splice_donor_variant_NMD_escaping;missense_variant;inframe_deletion;inframe_insertion;exon_loss_variant,19706596;30442288;29907873;30898215;31742804;32335906;33586461;34526680;35288587;38051749;39971408,ClinGen HCVD GCEP,17.03.2025,10.10.2024,
FLNC,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,FLNC-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,loss of function,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,27601210;31627847;27206985;22020047;30067491;27908349;2843697;32154132;32160020;32150467,Cardiomyopathy expert panel,08.12.2021,31.03.2021,2022-04-25 12:45:00+00:00
FLNC,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,FLNC-related Myofibrillar myopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by age-related onset,nan,missense_variant;inframe_deletion;stop_gained_NMD_escaping,31245841;26666891;21135393;25351925;15929027;30681346;27908349;32022900;32112656;20697107;19050726,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-04-25 12:45:00+00:00
FXN,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,FXN-related Friedreich ataxia,Definitive,biallelic_autosomal,Autosomal recessive,Typified by age-related onset,loss of function,splice_region_variant;start_lost;inframe_deletion;inframe_insertion;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering;trinucleotide_repeat_expansion;exon_loss_variant;transcript_ablation,28405347;25566998;30681346;24705334;10633128;22409940;26704351;22691228,DDG2P team,13.01.2025,27.03.2021,2023-05-17 13:51:00+00:00
GAA,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,GAA-related Pompe disease,Definitive,biallelic_autosomal,Autosomal recessive,nan,loss of function,splice_region_variant;splice_acceptor_variant_NMD_triggering;splice_donor_variant_NMD_triggering;start_lost;frameshift_variant_NMD_escaping;frameshift_variant_NMD_triggering;stop_gained_NMD_triggering;missense_variant;inframe_deletion;transcript_ablation;5_prime_UTR_variant,1680134;1856189;9668092;14643388;19588081;31254424;9535769;8094613;1652892;7717400;20882352;30681346;21484825;11991748;7981676;10973860;28185884;31342611;4286143;17056254;3108320,DDG2P team,13.01.2025,27.03.2021,2023-05-17 13:51:00+00:00
GLA,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,GLA-related Fabry disease,Definitive,monoallelic_X_hem,X-linked recessive,nan,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;intron_variant;inframe_insertion;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,34776082;30988410;18940466;6023233;27560961;26937390;34576250;32640076;2539398;11322659,Cardiomyopathy expert panel,24.11.2021,15.11.2021,2022-04-25 12:45:00+00:00
JUP,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Rare familial disorder with ARVC,NA,JUP-related Naxos disease,Strong,biallelic_autosomal,Autosomal recessive,nan,nan,missense_variant;inframe_deletion;frameshift_variant_NMD_escaping,25820315;21320868;25705887;17924338;10902626;11691526;20031617;21673311;32966140;8858175;20130592;28098346;15851108;8954745;31402444,Cardiomyopathy expert panel,05.01.2022,12.12.2021,2022-04-25 12:45:00+00:00
KCNE1,Long QT Syndrome (LQTS),Syndromic QT prolongation and cardiac arrhythmias,NA,KCNE1-related Jervell and Lange-Nielsen syndrome 2,Moderate,biallelic_autosomal,Autosomal recessive,nan,nan,missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_escaping,30461122;9354783;NBK1405;31941373;9445165;9328483;10973849;19716085;16461811,Channelopathy expert panel,30.08.2021,01.08.2021,2024-03-27 10:43:00+00:00
KCNH2,Short QT Syndrome (SQTS),Classic SQTS,NA,KCNH2-related Short QT syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant,29876509;21130771;30582453;30175559;29759541;29016797;9547387;18692916;14676148;25974115;7889573;30947366;30496390;19088443;30571592;7736582;29574456;21310316;15673388;15828882;31049424;28491588;25335996;19340359;31072576,Channelopathy expert panel,21.07.2021,21.07.2021,2022-04-25 12:45:00+00:00
KCNH2,Long QT Syndrome (LQTS),Familial Long QT Syndrome,NA,KCNH2-related Long QT syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering;exon_loss_variant;duplication,21185501;18774102;22995932;10841244;27262388;29504689;19841300;31983240;24932360;15840476;25417810;26320108;19926013;21185499;29650123;32893267;27761161;10491368;12621127;21787999;19716085;9927399,Channelopathy expert panel,16.06.2021,14.10.2020,2022-04-25 12:45:00+00:00
KCNJ2,Short QT Syndrome (SQTS),Classic SQTS,NA,KCNJ2 relared Short QT syndrome,Moderate,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant,19710529;23440193;24794859;11410627;15761194;22155372;29615871;19285083;2479485,Channelopathy expert panel,21.07.2021,21.07.2021,2022-04-25 12:45:00+00:00
KCNJ2,Long QT Syndrome (LQTS),Syndromic QT prolongation and cardiac arrhythmias,NA,KCNJ2-related Andersen-related Tawil syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_escaping,12163457;16217063;11371347;32299589;21493816;31983240;21148745;32947483;32499698;32843460,Channelopathy expert panel,16.06.2021,01.05.2021,2022-04-27 14:22:00+00:00
KCNQ1,Short QT Syndrome (SQTS),Classic SQTS,NA,KCNQ1-related Short QT syndrome,Strong,monoallelic_autosomal,Autosomal dominant,nan,gain of function,missense_variant,28491751;16109388;24380499;26279191;29213224;15159330;26168993;25974115;8900283;28491547;26346102;8528244,Channelopathy expert panel,21.07.2021,21.07.2021,2022-04-25 12:45:00+00:00
KCNQ1,Long QT Syndrome (LQTS),Familial Long QT Syndrome,NA,KCNQ1-related Long QT syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering;exon_loss_variant;tandem_duplication,27041150;23591039;9020846;27868350;23392653;31983240;11226272;25187895,Channelopathy expert panel,16.06.2021,01.11.2020,2022-04-25 12:45:00+00:00
KCNQ1,Long QT Syndrome (LQTS),Familial Long QT Syndrome,NA,KCNQ1-related Long QT syndrome,Definitive,biallelic_autosomal,Autosomal recessive,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering;exon_loss_variant;tandem_duplication,27041150;23591039;9020846;27868350;23392653;31983240;11226272;25187895,Channelopathy expert panel,16.06.2021,01.11.2020,2022-04-25 12:45:00+00:00
KCNQ1,Long QT Syndrome (LQTS),Syndromic QT prolongation and cardiac arrhythmias,NA,KCNQ1-related Jervell and Lange-Nielsen syndrome,Definitive,biallelic_autosomal,Autosomal recessive,nan,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering;exon_loss_variant;complex_structural_alteration,27041150;23591039;9020846;27868350;23392653;31983240;11226272;25187895,Channelopathy expert panel,16.06.2021,01.05.2021,2022-04-25 12:45:00+00:00
LAMP2,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,LAMP2-related Danon disease,Definitive,monoallelic_X_het,X-linked dominant,Typified by age-related onset,nan,splice_region_variant;start_lost;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,19057086;30681346;19588270;20173215;10972294;15673802;30857840;15907287;16217705,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-04-25 12:45:00+00:00
LMNA,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,LMNA-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by age-related onset,nan,frameshift_variant;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering;exon_loss_variant,11897440;20127487;29367541;28912180;10662742;12854972;10580070;31983221;18926329;29095976;12920062,Cardiomyopathy expert panel,08.12.2021,30.03.2021,2022-04-25 12:45:00+00:00
MYBPC3,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,MYBPC3-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;intron_variant;inframe_insertion;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering;exon_loss_variant,25611685;32163302;30696458;28912181;27532257;7493025;31877118;17937428;29300372;32841044;20624503;28007147;22057632;12707239;18467358;32731933;26573135;32396390;19151713,Cardiomyopathy expert panel,10.11.2021,10.10.2021,2022-04-25 12:45:00+00:00
MYH7,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,MYH7-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,missense_variant,29093449;29666183;11106718;31983221;29300372,Cardiomyopathy expert panel,08.12.2021,31.03.2021,2022-04-25 12:45:00+00:00
MYH7,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,MYH7-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,missense_variant;inframe_deletion;stop_gained_NMD_escaping,25611685;20359594;34460321;30696458;25209314;27532257;1552912;29300372;15856146;1944483;30924982;1975517;33500567;12788380;30681346;32731933;27247418,Cardiomyopathy expert panel,10.11.2021,10.10.2021,2022-04-26 11:53:00+00:00
MYL2,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,MYL2-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant,25611685;25324513;28912181;30696458;8673105;32453731;16076902;12404107;9535554;32731933;24111713;16837010;23365102;28007147,Cardiomyopathy expert panel,10.11.2021,10.10.2021,2022-04-25 12:45:00+00:00
MYL3,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,MYL3-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant,25611685;12021217;20031618;22957257;8673105;30696458;26443374;28369730;33288880;29914921,Cardiomyopathy expert panel,24.11.2021,10.10.2021,2022-04-25 12:45:00+00:00
MYO6,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,MYO6-related nonsyndromic genetic hearing loss with left ventricular hypertrophy,Moderate,monoallelic_autosomal,Autosomal dominant,Typified by age-related onset,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant,26265212;15060111;30681346;18348273;23485424;12687499;25999546;24105371,DDG2P team,13.01.2025,27.03.2021,2023-05-17 13:51:00+00:00
MYO6,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,MYO6-related nonsyndromic genetic hearing loss with left ventricular hypertrophy,Moderate,biallelic_autosomal,Autosomal recessive,Typified by age-related onset,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant,26265212;15060111;30681346;18348273;23485424;12687499;25999546;24105371,DDG2P team,13.01.2025,27.03.2021,2023-05-17 13:52:00+00:00
PKP2,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,PKP2-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;deletion;duplication,17041889;25616645;33831308;23736219;24070718;22781308;20301310;24704780;30619891;28740174;17010805;21636032;30830208;34120153,Cardiomyopathy expert panel,05.01.2022,14.12.2021,2022-04-25 12:45:00+00:00
PLN,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,PLN-related Intrinsic Cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,frameshift_variant;stop_gained;missense_variant;inframe_deletion;exon_loss_variant,16432188;12639993;33020536;21167350,Cardiomyopathy expert panel,24.11.2021,17.11.2021,2022-04-25 12:45:00+00:00
PLN,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,PLN-related Intrinsic Cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,frameshift_variant;stop_gained;missense_variant;inframe_deletion;exon_loss_variant,16432188;12639993;33020536;21167350,Cardiomyopathy expert panel,24.11.2021,17.11.2021,2022-04-25 12:45:00+00:00
PRKAG2,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,PRKAG2-related cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;inframe_insertion,28009297;11371514;26729852;12015471;32646569;32259713;32646570,Cardiomyopathy expert panel,24.11.2021,20.11.2021,2022-04-25 12:45:00+00:00
PTPN11,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,PTPN11-related Noonan syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;inframe_deletion,15521065;21533187;24739123;16358218;30681346;25974318;15240615;14974085;18348260;21269411;11992261;19760651;23312968,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-05-25 11:23:00+00:00
PTPN11,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,PTPN11-related Noonan syndrome with multiple lentigines,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant,16377799;15121796;12161596;16358218;12058348;33354767;11992261;17697839,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-05-25 11:23:00+00:00
RAF1,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,RAF1-related Noonan syndrome,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;inframe_deletion,29271604;17603483;30681346;25974318;17603482;22786616;24782337;30762279,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-05-25 11:23:00+00:00
